taxon,plankton,precision-native_rf,recall-native_rf,f1-native_rf,n-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,n-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,n-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,n-effnetv2s
Acantharia,True,0.7333333333333333,0.36363636363636365,0.4861878453038674,121.0,0.957983193277311,0.9421487603305785,0.95,121.0,0.9669421487603306,0.9669421487603306,0.9669421487603306,121.0,0.7612903225806451,0.9752066115702479,0.855072463768116,121.0
Actinopterygii,True,0.5833333333333334,0.4117647058823529,0.4827586206896552,17.0,0.42857142857142855,0.5294117647058824,0.47368421052631576,17.0,0.4166666666666667,0.5882352941176471,0.4878048780487805,17.0,0.44,0.6470588235294118,0.5238095238095238,17.0
Amphipoda,True,0.375,0.14285714285714285,0.20689655172413793,42.0,0.7142857142857143,0.35714285714285715,0.47619047619047616,42.0,0.5952380952380952,0.5952380952380952,0.5952380952380952,42.0,0.43661971830985913,0.7380952380952381,0.5486725663716814,42.0
Annelida,True,0.6086956521739131,0.14893617021276595,0.23931623931623933,94.0,0.7846153846153846,0.5425531914893617,0.6415094339622641,94.0,0.5538461538461539,0.7659574468085106,0.6428571428571429,94.0,0.5714285714285714,0.7659574468085106,0.6545454545454545,94.0
Appendicularia,True,0.5,0.41509433962264153,0.4536082474226804,159.0,0.75,0.6792452830188679,0.7128712871287128,159.0,0.5019305019305019,0.8176100628930818,0.6220095693779905,159.0,0.40532544378698226,0.8616352201257862,0.5513078470824949,159.0
Aulacanthidae,True,0.9090909090909091,0.4444444444444444,0.5970149253731343,45.0,0.8085106382978723,0.8444444444444444,0.8260869565217391,45.0,0.7068965517241379,0.9111111111111111,0.7961165048543689,45.0,0.6774193548387096,0.9333333333333333,0.7850467289719626,45.0
Aulosphaeridae,True,0.7222222222222222,0.18055555555555555,0.28888888888888886,72.0,0.8787878787878788,0.8055555555555556,0.8405797101449275,72.0,0.7,0.875,0.7777777777777778,72.0,0.6633663366336634,0.9305555555555556,0.7745664739884393,72.0
Chaetognatha,True,0.6142857142857143,0.5,0.5512820512820513,86.0,0.6914893617021277,0.7558139534883721,0.7222222222222222,86.0,0.5241379310344828,0.8837209302325582,0.658008658008658,86.0,0.5079365079365079,0.7441860465116279,0.6037735849056604,86.0
Cnidaria,True,0.7647058823529411,0.3217821782178218,0.4529616724738676,202.0,0.8742138364779874,0.6881188118811881,0.7700831024930748,202.0,0.6735537190082644,0.806930693069307,0.7342342342342343,202.0,0.69377990430622,0.7178217821782178,0.7055961070559611,202.0
Coelodendridae,True,1.0,0.20408163265306123,0.3389830508474576,49.0,0.926829268292683,0.7755102040816326,0.8444444444444444,49.0,0.7777777777777778,0.8571428571428571,0.8155339805825242,49.0,0.7454545454545455,0.8367346938775511,0.7884615384615384,49.0
Collodaria,True,0.8352941176470589,0.3604060913705584,0.5035460992907801,197.0,0.8391959798994975,0.8477157360406091,0.8434343434343434,197.0,0.656934306569343,0.9137055837563451,0.7643312101910829,197.0,0.598705501618123,0.9390862944162437,0.7312252964426877,197.0
Copepoda,True,0.7224409448818898,0.4177575412635174,0.5293905517490083,3514.0,0.860347551342812,0.7749003984063745,0.8153915256774966,3514.0,0.7188661710037175,0.8804780876494024,0.7915067792274239,3514.0,0.7459036439227195,0.8679567444507683,0.8023148757069578,3514.0
Ctenophora,True,1.0,0.03225806451612903,0.0625,31.0,0.5882352941176471,0.3225806451612903,0.4166666666666667,31.0,0.40476190476190477,0.5483870967741935,0.4657534246575342,31.0,0.4444444444444444,0.6451612903225806,0.5263157894736842,31.0
Echinodermata,True,0.0,0.0,0.0,16.0,0.8888888888888888,0.5,0.64,16.0,0.5454545454545454,0.75,0.631578947368421,16.0,0.37142857142857144,0.8125,0.5098039215686274,16.0
Eumalacostraca,True,0.5131578947368421,0.39593908629441626,0.4469914040114613,197.0,0.734375,0.7157360406091371,0.7249357326478149,197.0,0.648068669527897,0.766497461928934,0.7023255813953488,197.0,0.5225806451612903,0.8223350253807107,0.6390532544378699,197.0
Foraminifera,True,0.8461538461538461,0.3793103448275862,0.5238095238095238,29.0,0.8571428571428571,0.8275862068965517,0.8421052631578947,29.0,0.7352941176470589,0.8620689655172413,0.7936507936507936,29.0,0.8064516129032258,0.8620689655172413,0.8333333333333334,29.0
Mollusca,True,0.5641025641025641,0.43137254901960786,0.4888888888888889,51.0,0.8181818181818182,0.7058823529411765,0.7578947368421053,51.0,0.6470588235294118,0.8627450980392157,0.7394957983193278,51.0,0.3858267716535433,0.9607843137254902,0.550561797752809,51.0
Ostracoda,True,0.45,0.10975609756097561,0.17647058823529413,82.0,0.7808219178082192,0.6951219512195121,0.7354838709677419,82.0,0.536,0.8170731707317073,0.6473429951690821,82.0,0.6296296296296297,0.8292682926829268,0.7157894736842105,82.0
Rhizaria,True,0.9210526315789473,0.5932203389830508,0.7216494845360825,413.0,0.8238341968911918,0.7699757869249395,0.7959949937421777,413.0,0.7142857142857143,0.8716707021791767,0.7851690294438386,413.0,0.6698113207547169,0.8595641646489104,0.7529162248144221,413.0
Salpida,True,0.6779661016949152,0.7272727272727273,0.7017543859649122,55.0,0.8275862068965517,0.8727272727272727,0.8495575221238938,55.0,0.7647058823529411,0.9454545454545454,0.8455284552845529,55.0,0.4909090909090909,0.9818181818181818,0.6545454545454545,55.0
Siphonophorae,True,0.6,0.15789473684210525,0.25,19.0,0.7142857142857143,0.2631578947368421,0.38461538461538464,19.0,0.3111111111111111,0.7368421052631579,0.4375,19.0,0.14457831325301204,0.631578947368421,0.23529411764705882,19.0
Trachylina,True,0.4,0.1935483870967742,0.2608695652173913,31.0,0.6153846153846154,0.5161290322580645,0.5614035087719298,31.0,0.5862068965517241,0.5483870967741935,0.5666666666666667,31.0,0.4528301886792453,0.7741935483870968,0.5714285714285714,31.0
Trichodesmium,True,0.7620545073375262,0.3940379403794038,0.5194712397284744,1845.0,0.9001085776330076,0.8986449864498645,0.8993761866015731,1845.0,0.8724066390041494,0.9116531165311653,0.8915981977206467,1845.0,0.7764654418197725,0.962059620596206,0.859356088114258,1845.0
artefact,False,0.922360248447205,0.9197080291970803,0.9210322294827777,4521.0,0.9558134345012274,0.9473567794735678,0.9515663185958676,4521.0,0.9505406027145158,0.9139570891395709,0.9318899413622012,4521.0,0.9375559534467324,0.9265649192656492,0.9320280342641005,4521.0
crystal,False,0.8840336134453781,0.9293286219081273,0.9061154177433247,566.0,0.8846815834767642,0.9081272084805654,0.8962510897994769,566.0,0.8165137614678899,0.9434628975265018,0.8754098360655738,566.0,0.7310252996005326,0.9699646643109541,0.8337129840546698,566.0
detritus,False,0.9305340267013351,0.9753154357140049,0.9523986207690683,76323.0,0.967066877576952,0.977241460634409,0.9721275472632601,76323.0,0.9842796071950504,0.9442238905703392,0.9638357630065534,76323.0,0.9848795840175151,0.9430315894291367,0.9635014022476122,76323.0
fiber,False,0.767609756097561,0.8046635303743097,0.7857000199720392,4889.0,0.8220012177795819,0.8283902638576396,0.8251833740831296,4889.0,0.734219828311732,0.8922069952955615,0.8055401662049861,4889.0,0.755340154370849,0.8607077111883821,0.8045889101338433,4889.0
