taxon,grouped,plankton,precision-native_rf,recall-native_rf,f1-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s
Actinopterygii,Actinopterygii,True,1.0,0.125,0.2222222222222222,0.8,0.5,0.6153846153846154,0.3333333333333333,0.5625,0.4186046511627907,0.6,0.9375,0.7317073170731707
Annelida,Annelida,True,0.0,0.0,0.0,0.6666666666666666,0.3728813559322034,0.4782608695652174,0.45714285714285713,0.5423728813559322,0.49612403100775193,0.4430379746835443,0.5932203389830508,0.5072463768115942
larvae<Annelida,Annelida,True,0.0,0.0,0.0,0.6842105263157895,0.23214285714285715,0.3466666666666667,0.5283018867924528,0.5,0.5137614678899083,0.41304347826086957,0.6785714285714286,0.5135135135135135
Appendicularia,Appendicularia,True,0.622492080253432,0.6006113092205807,0.6113559761472647,0.8557536466774717,0.8069281711665818,0.8306240167802832,0.776814240073026,0.8670402445236882,0.8194511314395763,0.8162008526764567,0.8777381558838513,0.8458517427589592
tail<Appendicularia,Appendicularia,True,0.6428571428571429,0.06428571428571428,0.11688311688311688,0.5753968253968254,0.5178571428571429,0.5451127819548872,0.4533678756476684,0.625,0.5255255255255256,0.45278450363196127,0.6678571428571428,0.5396825396825397
chainlarge,Bacillariophyceae,True,0.9220272904483431,0.8771441817338896,0.8990258968876218,0.9414723365340649,0.9545665275846082,0.9479742173112339,0.9349299593312246,0.9592025961984237,0.9469107551487415,0.9211800968736239,0.9698655540101994,0.9448961156278229
Diatoma,Bacillariophyceae,True,0.7629680998613038,0.9586964098989195,0.8497065183812171,0.9695068827321833,0.9696758452422447,0.969591356626296,0.965162863612611,0.9656674799581736,0.9654151058454569,0.9745703262013329,0.9684559079818752,0.9715034965034965
Diatoma tenuis<Diatoma,Bacillariophyceae,True,0.7375886524822695,0.6135693215339233,0.6698872785829307,0.8668555240793201,0.9026548672566371,0.884393063583815,0.8216145833333334,0.9306784660766961,0.8727524204702628,0.8469656992084432,0.9469026548672567,0.8941504178272981
Thalassionema,Bacillariophyceae,True,1.0,0.07142857142857142,0.13333333333333333,0.825,0.7857142857142857,0.8048780487804879,0.6307692307692307,0.9761904761904762,0.7663551401869159,0.6896551724137931,0.9523809523809523,0.8
Chaetognatha,Chaetognatha,True,0.5746606334841629,0.8054968287526427,0.670774647887324,0.8553459119496856,0.8625792811839323,0.8589473684210527,0.8366533864541833,0.8879492600422833,0.8615384615384616,0.8448275862068966,0.9323467230443975,0.8864321608040201
Cirripedia,Ciripedia,True,0.6401799100449775,0.3432475884244373,0.4468864468864469,0.8847077662129704,0.8882636655948553,0.8864821500200561,0.8727415553809897,0.8930868167202572,0.8827969805323799,0.841025641025641,0.9228295819935691,0.8800306630893062
Cladocera,Cladocera,True,0.525965379494008,0.3946053946053946,0.4509132420091324,0.7406340057636888,0.7702297702297702,0.7551420176297747,0.7251624883936861,0.7802197802197802,0.7516843118383061,0.7439379243452958,0.7662337662337663,0.7549212598425197
Evadne,Cladocera,True,0.6689655172413793,0.3201320132013201,0.4330357142857143,0.7208333333333333,0.570957095709571,0.6372007366482505,0.6936619718309859,0.6501650165016502,0.6712095400340715,0.6181318681318682,0.7425742574257426,0.6746626686656672
Penilia,Cladocera,True,0.5,0.016666666666666666,0.03225806451612903,0.926829268292683,0.6333333333333333,0.7524752475247525,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.7246376811594203,0.8333333333333334,0.7751937984496124
Podon,Cladocera,True,0.0,0.0,0.0,0.7619047619047619,0.5517241379310345,0.64,0.5882352941176471,0.6896551724137931,0.6349206349206349,0.6666666666666666,0.6896551724137931,0.6779661016949152
Acartiidae,Copepoda,True,0.714077528417371,0.48161981521525454,0.575252406668232,0.9246722754842497,0.9290347945744053,0.9268484016473818,0.92,0.935915077648909,0.9278893003313194,0.9028475711892797,0.9536072341262041,0.9275334608030593
