taxon,plankton,precision-native_rf,recall-native_rf,f1-native_rf,n-native_rf,precision-mobilenet_pca50_rf,recall-mobilenet_pca50_rf,f1-mobilenet_pca50_rf,n-mobilenet_pca50_rf,precision-mobilenet600,recall-mobilenet600,f1-mobilenet600,n-mobilenet600,precision-effnetv2s,recall-effnetv2s,f1-effnetv2s,n-effnetv2s
Actinopterygii,True,1.0,0.125,0.2222222222222222,16.0,0.8,0.5,0.6153846153846154,16.0,0.3333333333333333,0.5625,0.4186046511627907,16.0,0.6,0.9375,0.7317073170731707,16.0
Annelida,True,0.0,0.0,0.0,115.0,0.7115384615384616,0.3217391304347826,0.4431137724550898,115.0,0.5121951219512195,0.5478260869565217,0.5294117647058824,115.0,0.45614035087719296,0.6782608695652174,0.5454545454545454,115.0
Appendicularia,True,0.6524453694068678,0.5590726705305394,0.6021608643457383,2243.0,0.842605801236329,0.790013374944271,0.815462494247584,2243.0,0.7520372526193247,0.8640213999108337,0.804149377593361,2243.0,0.7781299524564184,0.8756130182790905,0.8239983217956787,2243.0
Bacillariophyceae,True,0.8029301047919422,0.9160766105629715,0.8557796573411407,8615.0,0.9637915129151291,0.9701683110853163,0.9669693989703245,8615.0,0.9547058154091271,0.9737666860127684,0.9641420526376279,8615.0,0.958129480031858,0.9774811375507835,0.9677085727418984,8615.0
Chaetognatha,True,0.5746606334841629,0.8054968287526427,0.670774647887324,473.0,0.8553459119496856,0.8625792811839323,0.8589473684210527,473.0,0.8366533864541833,0.8879492600422833,0.8615384615384616,473.0,0.8448275862068966,0.9323467230443975,0.8864321608040201,473.0
Ciripedia,True,0.6401799100449775,0.3432475884244373,0.4468864468864469,1244.0,0.8847077662129704,0.8882636655948553,0.8864821500200561,1244.0,0.8727415553809897,0.8930868167202572,0.8827969805323799,1244.0,0.841025641025641,0.9228295819935691,0.8800306630893062,1244.0
Cladocera,True,0.6703786191536748,0.4321608040201005,0.5255347010039284,1393.0,0.8935219657483247,0.8614501076812635,0.8771929824561403,1393.0,0.8555708390646493,0.8930366116295765,0.8739023533544081,1393.0,0.8554216867469879,0.9174443646805456,0.8853481122272255,1393.0
Copepoda,True,0.9551443831435614,0.8952811893988365,0.9242444679506748,72709.0,0.9809018421016266,0.976234028799736,0.9785623690305504,72709.0,0.9767572607849052,0.979672392688663,0.9782126549249837,72709.0,0.9751281072830353,0.9840734984664897,0.9795803812848684,72709.0
Ctenophora,True,1.0,0.01694915254237288,0.03333333333333333,59.0,0.64,0.2711864406779661,0.38095238095238093,59.0,0.4117647058823529,0.5932203389830508,0.4861111111111111,59.0,0.36470588235294116,0.5254237288135594,0.4305555555555556,59.0
cyphonaute,True,0.0,0.0,0.0,239.0,0.8798283261802575,0.8577405857740585,0.8686440677966102,239.0,0.8127340823970037,0.9079497907949791,0.857707509881423,239.0,0.7898550724637681,0.9121338912133892,0.8466019417475729,239.0
Decapoda,True,0.8108836206896551,0.9333333333333333,0.8678102926337034,3225.0,0.9557657107992679,0.9714728682170543,0.9635552821774566,3225.0,0.959214964734744,0.9699224806201551,0.9645390070921985,3225.0,0.9716245712503898,0.9662015503875969,0.9689054726368159,3225.0
