lineage,taxon,level1,level2,plankton
//other<living,other<living,other_living,other_living,FALSE
/living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Gonyaulacales/Pyrocystaceae/Pyrocystis,Pyrocystis,Pyrocystis,Pyrocystis,TRUE
/living/Eukaryota/Harosa/Rhizaria,Rhizaria,Rhizaria,Rhizaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Acantharea,Acantharea,Acantharea,Acantharea,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Acantharea/like<Acantharea,like<Acantharea,like_Acantharea,like_Acantharea,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/colonial<Collodaria,colonial<Collodaria,colonial_colodaria,colonial_colodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/solitaryblack,solitaryblack,solitaryblack,solitaryblack,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Bacillariophytina/Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea,Crustacea,Crustacea,Crustacea,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda,Copepoda,Copepoda,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Harpacticoida,Harpacticoida,Harpacticoida,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/like<Copepoda,like<Copepoda,like_Copepoda,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia,Appendicularia,Appendicularia,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/body/like<body<Appendicularia,like<body<Appendicularia,Appendicularia_like_body,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/body<Appendicularia,body<Appendicularia,Appendicularia_body,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/house,house,house,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Doliolida,Doliolida,Doliolida,Doliolida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria,Cnidaria,Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Trachymedusae/Rhopalonematidae,Rhopalonematidae,Rhopalonematidae,Rhopalonematidae,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/part<Cnidaria,part<Cnidaria,part_Cnidaria,part_Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/ephyra<Scyphozoa,ephyra<Scyphozoa,ephyra,ephyra,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora,Ctenophora,Ctenophora,Ctenophora,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca,Mollusca,Mollusca,Mollusca,TRUE
/not-living/artefact/streak,streak,streak,streak,FALSE
/not-living/artefact/vertical line,vertical line,vertical line,vertical line,FALSE
/not-living/detritus,detritus,detritus,detritus,FALSE
