lineage,taxon,level1,level2,plankton
/Calanoida,Calanoida,Calanoida,Copepoda,TRUE
/detritus,detritus,detritus,detritus,FALSE
/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/puff,puff,puff,Trichodesmium,TRUE
/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/tuff,tuff,tuff,Trichodesmium,TRUE
/living/Eukaryota/Harosa/Rhizaria,Rhizaria,Rhizaria,Rhizaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/fuzzy,fuzzy,fuzzy,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/spiky,spiky<Acantharia,spiky<Acantharia,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/star,star<Acantharia,star<Acantharia,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae,Coelodendridae,Coelodendridae,Coelodendridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/spiky,spiky<Coelodendridae,spiky<Coelodendridae,Coelodendridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/Aulatractus,Aulatractus,Aulatractus,Aulosphaeridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Foraminifera,Foraminifera,Foraminifera,Foraminifera,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria,Collodaria,Collodaria,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/cloud,cloud,cloud,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/solitaryblack,solitaryblack,solitaryblack,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/solitaryglobule,solitaryglobule,solitaryglobule,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/rhizaria like,rhizaria like,like<Rhizaria,Rhizaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Polychaeta/Errantia/Phyllodocida,Phyllodocida,Phyllodocida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Polychaeta/Sedentaria/Canalipalpata/Terebellida/Swima,Swima,Swima,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda,Amphipoda,Amphipoda,Amphipoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda/Hyperiidea,Hyperiidea,Hyperiidea,Amphipoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda,Copepoda,Copepoda,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Calanidae,Calanidae,Calanidae,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/copepoda eggs,copepoda eggs,copepoda_eggs,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/like,like<Copepoda,like<Copepoda,Copepoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Oligostraca/Ostracoda,Ostracoda,Ostracoda,Ostracoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha,Chaetognatha,Chaetognatha,Chaetognatha,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii,Actinopterygii,Actinopterygii,Actinopterygii,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia,Appendicularia,Appendicularia,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/house/dead,dead<house,dead<house,Appendicularia,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida,Salpida,Salpida,Salpida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida/chain,chain<Salpida,chain<Salpida,Salpida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria,Cnidaria,Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria/other,other<Cnidaria,other<Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Cnidaria/small,small<Cnidaria,small<Cnidaria,Cnidaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae,Siphonophorae,Siphonophorae,Siphonophorae,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Narcomedusae,Narcomedusae,Narcomedusae,Trachylina,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Trachymedusae,Trachymedusae,Trachymedusae,Trachylina,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora,Ctenophora,Ctenophora,Ctenophora,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata,Echinodermata,Echinodermata,Echinodermata,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae/Creseis/Creseis,Creseis,Creseis acicula,Mollusca,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Thecosomata,Thecosomata,Thecosomata,Mollusca,TRUE
/living/other,other<living,other<living,other<living,FALSE
/living/other/othertocheck/darksphere,darksphere,darksphere,other<living,FALSE
/not-living/artefact,artefact,artefact,artefact,FALSE
/not-living/crystal,crystal,crystal,crystal,FALSE
/not-living/detritus/fiber,fiber,fiber,fiber,FALSE
/not-living/detritus/filament,filament,filament,filament,FALSE
/reflection,reflection,reflection,reflection,FALSE
/temporary/t004,t004,t004,t004,FALSE
/temporary/t011,t011,t011,t011,FALSE
