lineage,taxon,level1,level2,plankton
//detritus,detritus,detritus,detritus,FALSE
//fiber<detritus,fiber<detritus,fiber_detritus,fiber_detritus,FALSE
//gelatinous,gelatinous,gelatinous,gelatinous,FALSE
//other<living,other<living,other_living,other_living,FALSE
/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium,Trichodesmium,Trichodesmium,Trichodesmium,TRUE
/living/Eukaryota/Archaeplastida/Viridiplantae/Chlorophyta/Pyramimonadales/Halosphaera,Halosphaera,Halosphaera,Halosphaera,TRUE
/living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Gonyaulacales/Ceratiaceae/Neoceratium,Neoceratium,Neoceratium,Neoceratium,TRUE
/living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Noctilucales/4/Noctilucaceae/Noctiluca<Noctilucaceae,Noctiluca<Noctilucaceae,Noctiluca,Noctiluca,TRUE
/living/Eukaryota/Harosa/Rhizaria,Rhizaria,Rhizaria,Rhizaria,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Bacillariophytina/Bacillariophyceae/Diatoma,Diatoma,Diatoma,Bacillariophyceae,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Bacillariophytina/Bacillariophyceae/Diatoma/chainlarge,chainlarge,chainlarge,Bacillariophyceae,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Bacillariophytina/Bacillariophyceae/Diatoma/Diatoma tenuis<Diatoma,Diatoma tenuis<Diatoma,Diatoma tenuis,Bacillariophyceae,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Bacillariophytina/Bacillariophyceae/Thalassionema,Thalassionema,Thalassionema,Bacillariophyceae,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Coscinodiscophytina/Rhizosolenids,Rhizosolenids,Rhizosolenids,Rhizosolenids,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/larvae<Annelida,larvae<Annelida,larvae_Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera,Cladocera,Cladocera,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Evadne,Evadne,Evadne,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Podon,Podon,Podon,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Sididae/Penilia/Penilia,Penilia,Penilia,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/larvae<Crustacea,larvae<Crustacea,larvae_Crustacea,other_Crustacea,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda,Amphipoda,Amphipoda,other_Crustacea,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda,Decapoda,Decapoda,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Anomura/Porcellanidae,Porcellanidae,Porcellanidae,Decapoda,TRUE
