lineage,taxon,level1,level2,plankton,,,,,
/Calanoida,Calanoida,Calanoida,Copepoda,TRUE,,,Calanoida,Copepoda,TRUE
/detritus,detritus,detritus,detritus,FALSE,,,detritus,detritus,FALSE
/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/puff,puff,puff,Trichodesmium,TRUE,,,puff,Trichodesmium,TRUE
/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/tuff,tuff,tuff,Trichodesmium,TRUE,,,tuff,Trichodesmium,TRUE
/living/Eukaryota/Harosa/Rhizaria,Rhizaria,Rhizaria,Rhizaria,TRUE,,,Rhizaria,Rhizaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/fuzzy,fuzzy,fuzzy,Acantharia,TRUE,,,fuzzy,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/spiky,spiky<Acantharia,spiky<Acantharia,Acantharia,TRUE,,,spiky<Acantharia,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Acantharia/star,star<Acantharia,star<Acantharia,Acantharia,TRUE,,,star<Acantharia,Acantharia,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae,Aulacanthidae,Aulacanthidae,Aulacanthidae,TRUE,,,Aulacanthidae,Aulacanthidae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae,Coelodendridae,Coelodendridae,Coelodendridae,TRUE,,,Coelodendridae,Coelodendridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/spiky,spiky<Coelodendridae,spiky<Coelodendridae,Coelodendridae,TRUE,,,spiky<Coelodendridae,Coelodendridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,Aulosphaeridae,TRUE,,,Aulosphaeridae,Aulosphaeridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/Aulatractus,Aulatractus,Aulatractus,Aulosphaeridae,TRUE,,,Aulatractus,Aulosphaeridae,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Foraminifera,Foraminifera,Foraminifera,Foraminifera,TRUE,,,Foraminifera,Foraminifera,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria,Collodaria,Collodaria,Collodaria,TRUE,,,Collodaria,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/cloud,cloud,cloud,Collodaria,TRUE,,,cloud,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/solitaryblack,solitaryblack,solitaryblack,Collodaria,TRUE,,,solitaryblack,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria/solitaryglobule,solitaryglobule,solitaryglobule,Collodaria,TRUE,,,solitaryglobule,Collodaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/rhizaria like,like<Rhizaria,like<Rhizaria,Rhizaria,TRUE,,,rhizaria like,Rhizaria,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,Annelida,Annelida,TRUE,,,Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Polychaeta/Errantia/Phyllodocida,Phyllodocida,Phyllodocida,Annelida,TRUE,,,Phyllodocida,Annelida,TRUE
