lineage,taxon,level1,level2,plankton
/detritus,detritus,detritus,detritus,FALSE
/living/Eukaryota/Harosa,Harosa,Harosa,Harosa,TRUE
/living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Gonyaulacales/Ceratiaceae/Neoceratium,Neoceratium,Neoceratium,Alveolata,TRUE
/living/Eukaryota/Harosa/Alveolata/Myzozoa/Holodinophyta/Dinophyceae/Noctilucales/4/Noctilucaceae/Noctiluca,Noctiluca,Noctiluca,Alveolata,TRUE
/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria,Phaeodaria,Phaeodaria,Rhizaria,TRUE
/living/Eukaryota/Harosa/Rhizaria/Retaria/Foraminifera,Foraminifera,Foraminifera,Rhizaria,TRUE
/living/Eukaryota/Harosa/Stramenopiles/Ochrophyta/Bacillariophyta/Coscinodiscophytina/Coscinodiscids/Coscinodiscus,Coscinodiscus,Coscinodiscus,Stramenopiles,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/living/other,other<living,other_living,other_living,FALSE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida,Annelida,Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Annelida/larvae,larvae<Annelida,larvae _Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/part,part<Annelida,part_Annelida,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Annelida/Polychaeta/Errantia/Tomopteridae,Tomopteridae,Tomopteridae,Annelida,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Evadne,Evadne,Evadne,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Podonidae/Podon,Podon,Podon,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Branchiopoda/Diplostraca/Cladocera/Sididae/Penilia,Penilia,Penilia,Cladocera,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca,Eumalacostraca,Eumalacostraca,Eumalacostraca,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda,Amphipoda,Amphipoda,Amphipoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Amphipoda/Hyperiidea,Hyperiidea,Hyperiidea,Amphipoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Cumacea,Cumacea,Cumacea,Amphipoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Dendrobranchiata/Penaeoidea/Penaeidae/protozoea,protozoea<Penaeidae,protozoea_Penaeidae,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Dendrobranchiata/Sergestoidea/Luciferidae/larvae,larvae<Luciferidae,larvae_Luciferidae,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Dendrobranchiata/Sergestoidea/Sergestidae/protozoea,protozoea<Sergestidae,protozoea_Sergestidae,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Anomura/Galatheidae/zoea,zoea<Galatheidae,zoea_Galatheidae,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Anomura/Porcellanidae/larvae,larvae<Porcellanidae,larvae_Porcellanidae,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Brachyura/megalopa,megalopa,megalopa,Decapoda,TRUE
/living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Decapoda/Pleocyemata/Brachyura/zoea,zoea<Brachyura,zoea_Brachyura,Decapoda,TRUE
